,0
time_since_publish_days,0.996786007026708
title_len,0.03380542728372854
duration_min,0.030941663777383378
title_word_count,0.020325443432298473
cat_28,0.016209320618672484
cat_25,0.014467022876271718
cat_27,0.0060823609449824345
cat_22,0.004857983862152237
has_tutorial,0.0019678281202019977
cat_24,0.0014942489423085958
cat_26,0.0011914619111223824
cat_23,0.00033628214745365923
has_4k,0.00024428176455915107
num_tags,0.0
cat_20,-0.00025900432441733345
cat_17,-0.001205607114738727
cat_other,-0.006525032666906583
cat_10,-0.01832898388351615
