,0
time_since_publish_days,0.9988437742287086
title_len,0.034199954694721243
duration_min,0.028680246773401218
cat_28,0.01316819710781344
cat_25,0.01209577938090869
title_word_count,0.008208433172616358
cat_24,0.003891856051812159
cat_27,0.0035868740431710512
cat_22,0.003425110490346872
has_tutorial,0.0029818534281854546
cat_20,0.0011223955562566946
cat_26,0.0005667636125773256
has_4k,0.00045880679409804337
num_tags,0.0
cat_23,-0.0006541489265290302
cat_17,-0.0010568512789025709
cat_other,-0.004950403754987132
cat_10,-0.01279950258001734
