,0
time_since_publish_days,0.9911771200947023
duration_min,0.016301215909488697
title_len,0.010789344591210137
cat_28,0.009729430426775609
cat_25,0.006686417940946321
cat_22,0.004799562318382067
cat_27,0.003260172141482631
cat_23,0.002416120530175636
title_word_count,0.0008481514277461022
has_4k,4.247915473423181e-05
num_tags,-5.551115123125783e-17
cat_20,-8.468814557949233e-06
cat_24,-0.0005022943559854776
cat_26,-0.0007448668941404613
has_tutorial,-0.0007871870654906687
cat_17,-0.003785357716594795
cat_other,-0.004100621991289122
cat_10,-0.008387324351303838
